id,context,question,answers,label
train_25,"A summer day is ""pleasant"" if there are intermittent periods of wind and the temperature stays below 84 degree F (29 degree C) all afternoon. A summer day with high humidity levels is ""oppressive"" either if the temperature stays above 84 degree F (29 degree C) all afternoon or if there is no wind.",Which one of the following summer weather reports most closely conforms to the principles stated above?,"['On Tuesday, the temperature neither rose above nor fell below 84 degree F (29 degree C) throughout late morning and all afternoon. It was a pleasant day because there were occasional periods of wind.', 'On Thursday morning, the air was very still, and it remained windless for the whole day. Humidity levels for the day were high, and even though the temperature fell below 84 degree F (29 degree C) between early and late afternoon, it was an oppressive day.', ""On Wednesday, a refreshing breeze in the early morning became intermittent by late morning, and the day's humidity levels were constantly high. It was an oppressive day, even though the temperature did not rise above 84 degree F (29 degree C) all day."", 'On Monday, the temperature ranged from 85 degree F to 90 degree F (30 degree C to 32 degree C) from early morning until night. It was an oppressive day even though the humidity levels were low.']",1
train_26,"A certain cultivated herb is one of a group of closely related plants that thrive in soil with high concentrations of metals that are toxic to most other plants. Agronomists studying the growth of this herb have discovered that it produces large amounts of histidine, an amino acid that, in test-tube solutions, renders these metals chemically inert. Hence, the herb's high histidine production must be the key feature that allows it to grow in metal-rich soils.","In evaluating the argument, it would be most important to determine which of the following?","['Whether the herb can thrive in soil that does not have high concentrations of the toxic metals', 'Whether growing the herb in soil with high concentrations of the metals will, over time, reduce their concentrations in the soil', ""Whether the herb's high level of histidine production is associated with an unusually low level of production of some other amino acid"", 'Whether others of the closely related group of plants also produce histidine in large quantities']",3
train_27,"Maria won this year' s local sailboat race by beating Sue, the winner in each of the four previous years. We can conclude from this that Maria trained hard.",The conclusion follows logically if which one of the following is assumed?,"['Sue did not train as hard as Maria trained.', 'If Maria trained hard, she would win the sailboat race.', 'Maria could beat a four-time winner only if she trained hard.', 'If Sue trained hard, she would win the sailboat race.']",2
train_28,"Two lakes in the Pawpaw mountains, Quapaw and Highwater, were suffering from serious declines in their fish populations ten years ago. Since that time, there has been a moratorium on fishing at Quapaw Lake, and the fish population there has recovered. At Highwater Lake, no such moratorium has been imposed, and the fish population has continued to decline. Thus, the ban on fishing is probably responsible for the rebound in the fish population at Quapaw Lake.","Which one of the following, if true, most seriously weakens the argument above?","['There used to be a greater variety of fish species in Highwater Lake than in Quapaw Lake, but there no longer is.', 'Highwater Lake is much larger than Quapaw Lake.', 'Prior to the ban, there was practically no fishing at Quapaw Lake.', 'Highwater Lake is in an area of the mountains that is highly susceptible to acid rain.']",2
train_29,Buying elaborate screensavers -- programs that put moving images on a computer monitor to prevent damage -- can cost a company far more in employee time than it saves in electricity and monitor protection. Employees cannot resist spending time playing with screensavers that flash interesting graphics across their screens.,Which one of the following most closely conforms to the principle illustrated above?,"['An electronic keyboard may be cheaper to buy than a piano but more expensive to repair.', 'An energy-efficient insulation system may cost more up front but will ultimately save money over the life of the house.', 'The time that it takes to have a pizza delivered may be longer than it takes to cook a complete dinner.', 'A complicated hotel security system may cost more in customer goodwill than it saves in losses by theft.']",3
train_30,"The simultaneous and apparently independent development in several ancient cultures of a myth of creatures who were half human and half horse parallels the increased use of horses in these cultures. But despite the nobility and gentleness traditionally ascribed to the horse, the mythical half-horse, half-humans were frequently portrayed as violent and savage. Many human cultures use myth to express unconscious thoughts, so these mythical creatures obviously reflect people' s unconscious fear of the horse.",The reasoning in the argument is flawed because the argument,"[""fails to show that the mythical creature mentioned represents the horse in people's minds"", 'fails to explain why people use myth for the expression of unconscious thoughts', 'confuses the expression of unconscious thoughts with the suppression of them', 'fails to demonstrate that the myth was not borrowed from one of the cultures by the others']",0
train_31,"The growing popularity of computer-based activities was widely predicted to result in a corresponding decline in television viewing. Recent studies have found that, in the United States, people who own computers watch, on average, significantly less television than people who do not own computers. In itself, however, this finding does very little to show that computer use tends to reduce television viewing time, since __.",Which of the following most logically completes the argument?,"['many people use their computers primarily for tasks such as correspondence that can be done more rapidly on the computer, and doing so leaves more leisure time for watching television', 'many people who watch little or no television do not own a computer', 'computer owners in the United States predominantly belong to demographic groups that have long been known to spend less time watching television than the population as a whole does', 'even though most computer owners in the United States watch significantly less television than the national average, some computer owners watch far more television than the national average']",2
train_32,"Adjusted for inflation, the income earned from wool sales by a certain family of Australian sheep farmers grew substantially during the period from 1840 to I860. This is because the price for wool sold on the international market was higher than the price paid on domestic markets and the percentage and amount of its wool that this family sold internationally increased dramatically during that period. But even though the family generated more income from selling their wool, they failed to enjoy a commensurate increase in prosperity.","Which one of the following would, if true, help most to resolve the apparent paradox described above?","['The prices of wool sold to domestic markets by Australian sheep farmers decreased dramatically during the period in question.', 'At the end of the 1800s, prices in general in Australia rose more rapidly than did the wholesale price of wool sold domestically.', 'Competition in wool sales increased during the period in question, leaving Australian wool producers in a less favorable position than previously.', 'The international and domestic prices for mutton, sheepskins, and certain other products produced by all Australian sheep farmers fell sharply during the period in question.']",3
train_33,"Even though she thought the informant was untrustworthy, the journalist promised not to reveal his identity so long as the information he provided did not tum out to be false. However, she will publicly reveal the informant' s identity if she is ordered to do so by a judge or her editor. After all, the information concerns safety violations at the power plant. Thus, the journalist will surely reveal the informant' s identity even if the information is accurate.",The conclusion of the argument follows logically if which one of the following is assumed?,"['The informant understood, at the time the journalist promised him confidentiality, that she would break this promise if ordered to do so by a judge.', ""The journalist's editor will not order her to reveal the informant's identity unless the information is accurate and concerns public safety."", 'The information that the informant provided is known to be false.', ""If the information concerns safety at the power plant, a judge will order the journalist to reveal her informant's identity.""]",3
train_34,"A group of 1, 000 students was randomly selected from three high schools in a medium-sized city and asked the question, ""Do you plan to finish your high school education? ""More than 89 percent answered ""Yes. "" This shows that the overwhelming majority of students want to finish high school, and that if the national dropout rate among high school students is high, it cannot be due to a lack of desire on the part of the students.",The reasoning of the argument above is questionable because the argument,"['treats high school students from a particular medium-sized city as if they are representative of high school students nationwide', 'attempts to draw two conflicting conclusions from the results of one survey', 'contradicts itself by admitting that there may be a high dropout rate among students while claiming that most students want to finish high school', 'overlooks the possibility that there may in fact not be a high dropout rate among high school students']",0
train_35,H. G Wells' s great dramatic novel The Time Machine is classified as science fiction simply because it takes place in the future. But this classification is inappropriate because Wells' s book possesses something that great dramatic novels have and science fiction generally lacks -- compelling characters that enable the reader to become absorbed in their plight and not just in the author' s representation of the future of technology.,The argument's conclusion follows logically if which one of the following is assumed?,"['All novels that contain compelling characters are great dramatic novels.', 'Novels can always be clearly classified into distinct genres.', 'A dramatic novel cannot both be great and belong to the genre of science fiction.', 'A work of science fiction cannot achieve greatness unless it contains compelling characters.']",2
train_36,"The interview is an essential part of a successful hiring program because, with it, job applicants who have personalities that are unsuited to the requirements of the job will be eliminated from consideration.",The argument above logically depends on which of the following assumptions?,"['A hiring program will be successful if it includes interviews.', ""The fit of job applicants' personalities to the requirements of the job was once the most important factor in making hiring decisions."", ""The only purpose of an interview is to evaluate whether job applicants' personalities are suited to the requirements of the job."", 'Interviewers can accurately identify applicants whose personalities are unsuited to the requirements of the job.']",3
train_37,"Dario: The government should continue to grant patents for all new drug compounds. Patents promote innovation by rewarding pharmaceutical companies for undertaking the costly research needed to develop new drugs. Cynthia: Promoting innovation is certainly important. For this reason, patents should be granted only for truly innovative drugs, not for minor variants of previously existing drugs. Since it is much less expensive to tweak an existing drug than to develop a wholly new one, pharmaceutical companies tend to focus primarily on the cheaper alternative.",Dario and Cynthia disagree over whether,"['patents should be granted for all drug compounds', 'developing truly innovative drugs is costly', 'drug patents can promote innovation', 'pharmaceutical companies have an incentive to create minor variants of existing drugs']",0
train_38,"Bardis: Extensive research shows that television advertisements affect the buying habits of consumers. Some people conclude from this that violent television imagery sometimes causes violent behavior. But the effectiveness of television advertisements could be a result of those televised images being specifically designed to alter buying habits, whereas television violence is not designed to cause violent behavior. Hence we can safely conclude that violent television imagery does not cause violence.",The reasoning in Bardis's argument is flawed because that argument,"['undermines its own position by questioning the persuasive power of television advertising', 'fails to distinguish a type of behavior from a type of stimulus that may or may not affect behavior', 'relies on an illegitimate inference from the fact that advertisements can change behavior to the claim that advertisements can cause violent behavior', 'concludes that a claim is false on the basis of one purported fault in an argument in favor of that claim']",3
train_39,"A luxury apartment condo recently opened up along the Biltmore's waterfront. Within the first two months, 80% of the standard units in the first ten of the condo's twelve stories were sold. Nonetheless, only two of the eight penthouses, all of which are located in the top two stories of the building, have sold. In order to sell the remaining six penthouses, the corporation that owns the property, should drop the rate of the penthouses by 20%.","Which of the following, if true, would argue against the proposal above?","['Biltmore has recently suffered a recession and economists do not predict an imminent recovery.', 'After the proposed discount each penthouse will only be 15% more costly than a standard unit.', 'Typically, the very first unit to sell in a luxury condo is a standard unit.', 'There have been so many buyers ready to purchase the penthouses that apartment management has been carefully selecting those applicants with the best credit histories.']",3
train_40,"The first publicly available fantasy football league was launched in 1997, and within three years, every major football media website had launched their own sites. From 2000 until 2015, viewership for the National Football League rose by 27 percent, and it is currently the most popular televised sport in the United States. Fantasy football heavily contributed to the increased viewership since fantasy players had a vested interest in nearly every game.",Upon which one of the following assumptions does the author's argument rely?,"['Some fantasy players watch National Football League games.', ""Fantasy football increased the play ers' knowledge of the National Football League."", 'Football was the least popular sport in the United States before 2000.', 'The National Football League earns a large portion of its revenue from high television ratings.']",0
train_41,"A newspaper article on Britain' s unions argued that their strength was declining. The article' s evidence was the decreasing number and size of strikes, as if the reason for the unions' existence was to organize strikes. Surely, in a modern industrial society, the calling of a strike is evidence that the negotiating position of the union was too weak. Strong unions do not need to call strikes. They can concentrate their efforts on working with others in the labor market to achieve common goals, such as profitable and humane working conditions.",The argument criticizing the newspaper article is directed toward establishing which one of the following as its main conclusion?,"[""The reason for unions' existence is to work for goals such as profitable and humane working conditions by organizing strikes."", 'Although unions represent the interests of their members, that does not preclude them from having interests in common with other participants in the labor market.', 'There is no reason to believe, on the basis of what the newspaper article said, that union strength in Britain is declining.', 'The negotiating position of a union is weak if the only means it has of achieving its end is a strike or the threat of a strike.']",2
train_42,"On the first day of the course, a philosophy professor told the class that no student has ever earned an A without reading all of the mandatory books. Jorge read all of the mandatory books and suggested course materials for his philosophy course. Ttherefore, Jorge will earn an A in his philosophy course.",What mistake does the argument commit in its reasoning?,"['It confuses probability and certainty.', 'It confuses relative and absolute solutions.', 'It confuses a necessary and sufficient condition.', 'It confuses correlation and causation.']",2
train_43,"Politician: We should impose a tariff on imported fruit to make it cost consumers more than domestic fruit. Otherwise, growers from other countries who can grow better fruit more cheaply will put domestic fruit growers out of business. This will result in farmland' s being converted to more lucrative industrial uses and the consequent vanishing of a unique way of life.",The politician's recommendation most closely conforms to which one of the following principles?,"['A country should put the interests of its own citizens ahead of those of citizens of other countries.', 'Government intervention sometimes creates more economic efficiency than free markets.', 'A country should put its own economic interest over that of other countries.', 'Social concerns should sometimes take precedence over economic efficiency.']",3
train_44,Only an expert in some branch of psychology could understand why Patrick is behaving irrationally. But no expert is certain of being able to solve someone else' s problem. Patrick wants to devise a solution to his own behavioral problem.,Which one of the following conclusions can be validly drawn from the passage?,"['Patrick is not certain of being able to devise a solution to his own behavioral problem.', ""Unless Charles is an expert in some branch of psychology, Charles should not offer a solution to Patrick's behavioral problem."", ""If Charles is certain of being able to solve Patrick's behavioral problem, then Charles does not understand why Patrick is behaving in this way."", 'Patrick is not an expert in psychology.']",2
train_45,"Sponges attach to the ocean floor, continually filtering seawater for food and ejecting water they have just filtered to avoid reingesting it. Tubular and vase-shaped sponges can eject filtered water without assistance from surrounding ocean currents and thus are adapted to slow-moving, quiet waters. Because of their shape, however, these sponges cannot live in strong currents, since strong currents would dislodge them. Both of these varieties of sponge were widespread during the late Jurassic period.","The statements above, if true, most strongly support which one of the following claims?","['No types of sponge live in large colonies, since sponges do not flourish in areas where much of the water has been filtered by other sponges.', 'Few tubular or vase-shaped sponges lived before the late Jurassic period.', 'During the late Jurassic period there were many areas of the ocean floor where currents were weak.', 'All sponges that are neither tubular nor vase-shaped inhabit areas of the ocean floor where there are extremely strong currents.']",2
